italian_tot_resp, tot_p_tot_resp, samoan_tot_resp, korean_tot_resp, dutch_tot_resp, nz_tot_resp, scottish_tot_resp, french_tot_resp, maori_tot_resp, vietnamese_tot_resp, sri_lankan_tot_resp, english_tot_resp, greek_tot_resp, macedonian_tot_resp, indian_tot_resp, spanish_tot_resp, gccsa_code_2021, irish_tot_resp, filipino_tot_resp, serbian_tot_resp, aust_tot_resp, maltese_tot_resp, lebanese_tot_resp, german_tot_resp, croatian_tot_resp, other_tot_resp, chinese_tot_resp, polish_tot_resp, welsh_tot_resp, sth_african_tot_resp, russian_tot_resp, hungarian_tot_resp
223635,5231147,30501,69231,48718,35505,315681,34332,28378,118645,18836,1244708,124482,28916,237222,40003,"1GSYD",401092,130629,29790,1167625,63428,170786,122915,44031,1051653,552680,42014,25055,31159,29352,19767
77961,2829637,3536,3241,38255,17031,303925,14217,11279,5326,2283,1157567,17062,14834,23792,10380,"1RNSW",333425,22085,6244,1137040,15475,7435,119314,10692,182142,28697,17700,19758,8347,6170,6648
323654,4917750,21701,19579,73201,31908,349731,28426,21688,117501,48413,1257388,171480,46233,260693,24776,"2GMEL",408482,82470,26936,1151312,71113,47513,140552,42294,915267,409285,52559,22989,22444,24463,20532
60811,1576613,1359,927,35936,8251,184153,6673,4134,3580,2347,640747,9622,3173,15978,4059,"2RVIC",202673,12661,3179,617538,10373,1553,72104,8932,98286,17980,9961,9003,3615,2917,4249
69301,2526238,29503,17278,41171,35523,255099,16774,38109,28536,6742,920851,20004,1990,68579,13813,"3GBRI",281095,40929,6490,797104,8365,5899,143858,8870,322355,117497,18499,17993,19419,10221,7714
82928,2615036,5701,8085,39449,31531,270677,16233,26774,5293,2818,1034482,12668,1339,24991,11788,"3RQLD",285532,32769,3613,923348,13711,3502,165241,7882,241486,42399,14231,16595,15753,7336,6705
95008,1387290,500,4625,22959,5364,113163,6715,2754,22342,3323,511166,37710,1716,41843,4984,"4GADE",105722,17837,6956,419533,7080,5628,93341,8775,177833,56779,18155,10497,5357,6387,5379
8792,390843,95,186,6586,1424,36036,1433,1159,548,213,164275,2977,91,1735,805,"4RSAU",30086,3416,364,158354,789,309,41688,1391,17454,2056,2212,2294,930,522,733
116535,2116647,2827,8216,42454,23348,183804,14540,24208,22652,6700,784948,14572,10629,73386,10875,"5GPER",186796,38668,8106,593241,4543,3154,60102,21726,314651,112289,19925,19882,28910,6332,4976
20529,534804,515,505,10284,6000,48239,2715,6765,1023,405,213880,1524,691,3941,1692,"5RWAU",46010,8069,455,194224,691,264,17986,2354,34481,4493,3611,3895,4351,869,718
4601,247086,86,677,4950,1192,23236,1116,494,1057,439,105130,1913,74,3852,699,"6GHOB",26428,1615,306,92784,362,272,9108,815,24477,9087,2515,1569,773,576,573
3841,309087,136,298,6874,1452,29285,1157,760,437,299,138004,689,62,2004,606,"6RTAS",30085,1771,160,131969,480,179,10714,472,18469,3229,1595,1682,698,474,553
3283,139902,201,382,1877,1038,10431,769,1008,1460,610,38733,4038,65,3939,689,"7GDAR",11932,6864,114,40417,353,131,5743,277,23511,5952,716,726,512,289,264
1044,89103,215,113,710,457,4027,286,720,262,132,14390,216,17,1242,190,"7RNTE",4774,1375,34,14970,88,42,2497,80,6915,954,256,248,214,87,81
15211,453890,1053,3482,7812,2882,45404,3114,1388,5957,2335,145139,5526,1458,20371,3102,"8ACTE",52606,7285,2182,143169,1963,1623,19068,5617,76153,26028,5035,3634,1994,1995,2014
35,4778,5,6,51,148,262,24,52,3,0,908,4,0,30,14,"9OTER",222,68,3,1121,12,0,85,10,1581,398,12,15,18,9,7
