person_spks_german_tot, person_spks_eng_only_tot, person_spks_french_tot, gcc_code16, person_spks_dutch_tot, person_spks_aus_indig_lang_tot, person_spks_croatian_tot, person_spks_arabic_tot, person_spks_afrikaans_tot, person_spks_cl_tot_tot
6982,2302328,3598,"1RNSW",2785,1378,2571,6618,2335,16107
15994,2816815,20057,"1GSYD",5888,533,18567,194049,5390,384904
3534,1241408,1689,"2RVIC",2249,230,3027,3223,901,8885
16150,2781188,17598,"2GMEL",6330,297,17474,76273,4661,280015
7555,1771105,6393,"3GBRI",3529,722,2282,9884,6246,76365
8854,2040720,5479,"3RQLD",3579,12725,1718,3745,6263,21996
1048,332472,296,"4RSAU",448,2670,309,193,520,1433
5387,977128,2407,"4GADE",2098,705,2763,9092,1837,39218
7562,1428821,8566,"5GPER",4224,747,5282,13733,11393,68694
1712,428090,978,"5RWAU",854,9466,270,392,2800,2718
825,192382,495,"6GHOB",384,40,207,540,175,3710
742,257298,315,"6RTAS",516,33,62,287,192,1484
237,38304,147,"7RNTE",69,33536,11,84,109,421
580,92942,483,"7GDAR",159,1129,32,278,198,3119
1913,288639,2047,"8ACTE",585,124,2272,3029,651,17195
17,1688,4,"9OTER",4,38,0,8,23,436
